timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1611502898738,3,HTTP Request,200,,Thread Group 1-101,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898752,3,HTTP Request,200,,Thread Group 1-102,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898761,3,HTTP Request,200,,Thread Group 1-103,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898768,3,HTTP Request,200,,Thread Group 1-104,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898778,4,HTTP Request,200,,Thread Group 1-105,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898788,2,HTTP Request,200,,Thread Group 1-106,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502898801,3,HTTP Request,200,,Thread Group 1-107,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898811,4,HTTP Request,200,,Thread Group 1-108,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898822,3,HTTP Request,200,,Thread Group 1-109,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898831,3,HTTP Request,200,,Thread Group 1-110,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898841,3,HTTP Request,200,,Thread Group 1-111,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898850,4,HTTP Request,200,,Thread Group 1-112,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898864,3,HTTP Request,200,,Thread Group 1-113,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898872,3,HTTP Request,200,,Thread Group 1-114,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898882,4,HTTP Request,200,,Thread Group 1-115,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898893,5,HTTP Request,200,,Thread Group 1-116,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,5,0,0
1611502898903,3,HTTP Request,200,,Thread Group 1-117,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898914,4,HTTP Request,200,,Thread Group 1-118,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502898922,3,HTTP Request,200,,Thread Group 1-119,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898929,3,HTTP Request,200,,Thread Group 1-120,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898940,3,HTTP Request,200,,Thread Group 1-121,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898952,3,HTTP Request,200,,Thread Group 1-122,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898959,3,HTTP Request,200,,Thread Group 1-123,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502898972,3,HTTP Request,200,,Thread Group 1-124,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898982,3,HTTP Request,200,,Thread Group 1-125,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502898988,3,HTTP Request,200,,Thread Group 1-126,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502899001,14,HTTP Request,200,,Thread Group 1-127,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,14,0,0
1611502899016,3,HTTP Request,200,,Thread Group 1-128,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502899022,2,HTTP Request,200,,Thread Group 1-129,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502899029,4,HTTP Request,200,,Thread Group 1-130,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502899039,3,HTTP Request,200,,Thread Group 1-131,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502899051,3,HTTP Request,200,,Thread Group 1-132,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502899062,3,HTTP Request,200,,Thread Group 1-133,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502899068,4,HTTP Request,200,,Thread Group 1-134,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,0
1611502899080,4,HTTP Request,200,,Thread Group 1-135,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502899088,4,HTTP Request,200,,Thread Group 1-136,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502899101,3,HTTP Request,200,,Thread Group 1-137,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502899114,4,HTTP Request,200,,Thread Group 1-138,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,0
1611502899122,4,HTTP Request,200,,Thread Group 1-139,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,0
1611502899131,2,HTTP Request,200,,Thread Group 1-140,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502899143,4,HTTP Request,200,,Thread Group 1-141,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,0
1611502899153,3,HTTP Request,200,,Thread Group 1-142,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502899162,2,HTTP Request,200,,Thread Group 1-143,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,2,0,0
1611502899171,3,HTTP Request,200,,Thread Group 1-144,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502899182,3,HTTP Request,200,,Thread Group 1-145,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502899188,3,HTTP Request,200,,Thread Group 1-146,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502899200,3,HTTP Request,200,,Thread Group 1-147,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502899214,4,HTTP Request,200,,Thread Group 1-148,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502899222,3,HTTP Request,200,,Thread Group 1-149,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502899231,3,HTTP Request,200,,Thread Group 1-150,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,0
1611502899240,3,HTTP Request,200,,Thread Group 1-151,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502899250,4,HTTP Request,200,,Thread Group 1-152,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,4,0,1
1611502899261,3,HTTP Request,200,,Thread Group 1-153,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
1611502899271,3,HTTP Request,200,,Thread Group 1-154,text,true,,263,134,1,1,http://localhost:10091/redis/book/getall,3,0,1
